District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Households
413,CHHATTISGARH,Uttar Bastar Kanker,748941,373338,375603,456042,258298,197744,627460,6040,4007,552,2213,1071,105869,1729,169191,24878,194069
414,CHHATTISGARH,Bastar,1413199,698487,714712,650863,382335,268528,1277975,12413,27951,2099,985,3466,86925,1385,316425,54894,371319
415,CHHATTISGARH,Narayanpur,139820,70104,69716,56621,33449,23172,129161,776,600,96,71,409,8542,165,26916,6179,33095
416,CHHATTISGARH,Dakshin Bastar Dantewada,533638,264142,269496,191237,116529,74708,513915,6437,4888,457,352,1044,6071,474,106545,31304,137849
417,CHHATTISGARH,Bijapur,255230,128663,126567,86919,54076,32843,245151,1617,2709,68,1649,15,3793,228,50449,7942,58391
418,MADHYA PRADESH,Sheopur,687861,361784,326077,328025,208201,119824,638702,41396,230,6387,201,379,40,526,150146,26376,176522
419,MADHYA PRADESH,Morena,1965970,1068417,897553,1179685,747652,432033,1875495,76159,1092,557,3234,6681,92,2660,319298,95288,414586
420,MADHYA PRADESH,Bhind,1703005,926843,776162,1094917,676513,418404,1595400,66776,973,4047,12215,19950,73,3571,271211,88385,359596
421,MADHYA PRADESH,Gwalior,2032036,1090327,941709,1357210,803114,554096,1835299,141735,4119,24790,4361,18058,217,3457,172720,272172,444892
422,MADHYA PRADESH,Datia,786754,420157,366597,491445,303815,187630,747693,28483,683,490,7923,453,10,1019,160453,43401,203854
423,MADHYA PRADESH,Shivpuri,1726050,919795,806255,900846,573242,327604,1648749,51200,1117,7151,3421,12171,72,2169,367859,66759,434618
424,MADHYA PRADESH,Tikamgarh,1445166,760355,684811,747940,459353,288587,1383475,44143,588,251,109,15569,39,992,322772,60220,382992
425,MADHYA PRADESH,Chhatarpur,1762375,936121,826254,943033,572010,371023,1676918,70351,1980,968,250,10409,102,1397,375869,95048,470917
426,MADHYA PRADESH,Panna,1016520,533480,483040,552559,332140,220419,974748,35214,418,186,37,4734,218,965,256744,32179,288923
427,MADHYA PRADESH,Sagar,2378458,1256257,1122201,1545719,908607,637112,2198297,103480,5580,4146,991,62992,168,2804,448408,165507,613915
428,MADHYA PRADESH,Damoh,1264219,661873,602346,747715,445737,301978,1186420,47966,1681,1096,119,25005,82,1850,303387,66514,369901
429,MADHYA PRADESH,Satna,2228935,1157495,1071440,1371781,801051,570730,2158623,59471,2228,1163,364,3135,1689,2262,461831,114173,576004
430,MADHYA PRADESH,Rewa,2365106,1225100,1140006,1441757,845572,596185,2268838,85414,1964,832,986,655,232,6185,523910,94489,618399
431,MADHYA PRADESH,Umaria,644758,330674,314084,356672,210907,145765,620515,15966,667,190,70,220,6028,1102,138100,29966,168066
432,MADHYA PRADESH,Neemuch,826067,422653,403414,508834,307889,200945,741288,67324,1508,1110,224,14165,115,333,174235,67962,242197
433,MADHYA PRADESH,Mandsaur,1340411,682851,657560,834591,502898,331693,1192588,125548,1120,849,242,19029,77,958,302287,81832,384119
434,MADHYA PRADESH,Ratlam,1455069,738241,716828,825880,485090,340790,1267043,151071,3996,1353,175,29353,123,1955,266716,107151,373867
435,MADHYA PRADESH,Ujjain,1986864,1016289,970575,1240990,730817,510173,1718204,233133,4659,3241,945,24622,211,1849,300765,188684,489449
436,MADHYA PRADESH,Shajapur,1512681,780520,732161,894612,543509,351103,1321003,174724,815,631,179,13755,66,1508,312611,73997,386608
437,MADHYA PRADESH,Dewas,1563715,805359,758356,925369,550716,374653,1376591,174259,2355,2330,382,6497,72,1229,274995,101014,376009
438,MADHYA PRADESH,Dhar,2185793,1112725,1073068,1077338,638479,438859,2051219,116202,2261,1607,328,12199,88,1889,412348,103364,515712
439,MADHYA PRADESH,Indore,3276697,1699627,1577070,2309130,1289631,1019499,2728225,415142,18523,25696,11496,71667,720,5228,200371,587947,788318
440,MADHYA PRADESH,Khargone (West Nimar),1873046,953121,919925,986234,575428,410806,1725441,135085,2075,2896,284,6028,89,1148,383543,76620,460163
441,MADHYA PRADESH,Barwani,1385881,699340,686541,549926,313642,236284,1318869,58222,2967,2361,416,2289,263,494,250358,48912,299270
442,MADHYA PRADESH,Rajgarh,1545814,790212,755602,804245,488797,315448,1433879,106928,1243,460,121,1599,50,1534,331894,69823,401717
443,MADHYA PRADESH,Vidisha,1458875,769568,689307,862918,512344,350574,1287391,149548,1313,914,295,18490,70,854,292579,83830,376409
